support,itemsets
0.2622917513206014,frozenset({'Binders'})
0.23628606257618853,frozenset({'Paper'})
0.17370987403494514,frozenset({'Furnishings'})
0.16314506298252743,frozenset({'Phones'})
0.15522145469321413,frozenset({'Storage'})
0.14628199918732224,frozenset({'Art'})
0.14262494920763918,frozenset({'Accessories'})
0.11499390491670053,frozenset({'Chairs'})
0.09020723283218204,frozenset({'Appliances'})
0.06907761072734661,frozenset({'Labels'})
0.061357171881349044,frozenset({'Tables'})
0.05424624136529866,"frozenset({'Paper', 'Binders'})"
