city,state,state_fips,place_fips
Henderson,Kentucky,21,35866
Los Angeles,California,06,44000
Fort Lauderdale,Florida,12,24000
Concord,North Carolina,37,14100
Seattle,Washington,53,63000
Fort Worth,Texas,48,27000
Madison,Wisconsin,55,48000
West Jordan,Utah,49,82950
San Francisco,California,06,67000
Fremont,Nebraska,31,17670
Philadelphia,Pennsylvania,42,60000
Orem,Utah,49,57300
Houston,Texas,48,35000
Richardson,Texas,48,61796
Naperville,Illinois,17,51622
Melbourne,Florida,12,43975
Eagan,Minnesota,27,17288
Westland,Michigan,26,86000
Dover,Delaware,10,21200
New Albany,Indiana,18,52326
Troy,New York,36,75484
Chicago,Illinois,17,14000
Gilbert,Arizona,04,27400
Springfield,Virginia,51,74592
Jackson,Michigan,26,41420
Memphis,Tennessee,47,48000
Decatur,Alabama,01,20104
Durham,North Carolina,37,19000
Columbia,South Carolina,45,16000
Rochester,Minnesota,27,54880
Minneapolis,Minnesota,27,43000
Portland,Oregon,41,59000
Aurora,Colorado,08,04000
Charlotte,North Carolina,37,12000
Orland Park,Illinois,17,56640
Urbandale,Iowa,19,79950
Columbus,Ohio,39,18000
Bristol,Tennessee,47,08540
Wilmington,Delaware,10,77580
Bloomington,Illinois,17,06613
Phoenix,Arizona,04,55000
Roseville,California,06,62938
Independence,Missouri,29,35000
Pasadena,California,06,56000
Newark,Ohio,39,54040
Franklin,Wisconsin,55,27300
Scottsdale,Arizona,04,65000
San Jose,California,06,68000
Edmond,Oklahoma,40,23200
Carlsbad,New Mexico,35,12150
San Antonio,Texas,48,65000
Decatur,Illinois,17,18823
Monroe,Louisiana,22,51410
Grand Prairie,Texas,48,30464
Redlands,California,06,59962
Hamilton,Ohio,39,33012
Westfield,New Jersey,34,79040
Akron,Ohio,39,01000
Denver,Colorado,08,20000
Dallas,Texas,48,19000
Franklin,Tennessee,47,27740
Whittier,California,06,85292
Saginaw,Michigan,26,70520
Medina,Ohio,39,48790
Dublin,Ohio,39,22694
Detroit,Michigan,26,22000
Columbia,Tennessee,47,16540
Tampa,Florida,12,71000
Santa Clara,California,06,69084
Lakeville,Minnesota,27,35180
San Diego,California,06,66000
Pasadena,Texas,48,56000
Brentwood,California,06,08142
Chapel Hill,North Carolina,37,11800
Morristown,New Jersey,34,48300
Cincinnati,Ohio,39,15000
Inglewood,California,06,36546
Tamarac,Florida,12,70675
Colorado Springs,Colorado,08,16000
Taylor,Michigan,26,79000
Lakewood,New Jersey,34,38580
Arlington,Virginia,51,03000
Arvada,Colorado,08,03455
Hackensack,New Jersey,34,28680
Long Beach,California,06,43000
Hesperia,California,06,33434
Murfreesboro,Tennessee,47,51560
Layton,Utah,49,43660
Austin,Texas,48,05000
Lowell,Massachusetts,25,37000
Columbus,Georgia,13,19000
Manchester,Connecticut,09,44690
Harlingen,Texas,48,32372
Tucson,Arizona,04,77000
Quincy,Illinois,17,62367
Pembroke Pines,Florida,12,55775
Des Moines,Washington,53,17635
Peoria,Illinois,17,59000
Las Vegas,Nevada,32,40000
Warwick,Rhode Island,44,74300
Miami,Florida,12,45000
Wilmington,North Carolina,37,74440
Huntington Beach,California,06,36000
Richmond,Kentucky,21,65226
